Gender,Height,Weight,Blood,GPA
Male,170,50,A,3
Male,175,80,A,3.5
Male,171,60,O,2.9
Male,170,85,O,2.91
Female,160,43,O,3.03
Male,170,68,O,3.03
Male,170,51,B,2.55
Male,184,60,B,2.94
Male,179,55,B,2.9
Male,180,62,O,2.62
Male,170,85,B,2.44
Female,160,48,O,2.53
Female,153,42,O,2.17
Female,158,46,A,3.81
Male,171,75,B,2.82
Male,173,64,O,2.16
Male,175,60,O,3.37
Male,176,73,O,3.39
Male,173,43,B,2.11
Male,185,110,B,2.44
Male,182,90,O,3.92
Male,180,75,B,2.92
Male,177,64,O,2.81
Female,153,52,O,2.22
Female,165,70,B,2.50
Male,175,58,A,3.10
